text,summary
عةمرت نةمينئ نةت توانى يةك بزمار بيبةى,عەمرت نەمینێ نەتوانی یەک بزمار ببەی.
بةرهةمةكاني ئةفين ئاسؤ,بەرهەمەکانی ئەڤین ئاسۆ
دانا بويته فليمي كجةن,دانا بووەتە فیلمی کچان.
به و برچه الی هاوریان,بەو پرچە ئەلێی هاوڕێیان
ئاخر خواية تاواني ئةم منالة نةكبةتة جية,ئاخر خودایە تاوانی ئەم مناڵە نەگبەتە چییە؟
به رنامه يه ك بودروست كردني بي ئابروي,بەرنامەیەک بۆ دروستکردنی بێئابڕویی
سةيري پيكةنينةكةي سونيا,سەیری پێکەنینەکەی سۆنیا
ئةبي كي كچ بدات بةوانة,ئەبێ کێ کچ بدات بەوانە؟
هةريم قةرةناوي,هەرێم قەرەناوی
خه تاي دانا بوو بو ئالان ياري بكردايه له كه ل ي ئه ي برده وه,خەتای دانا بوو، بۆ ئاڵان یاریی بکردایە لەگەڵی ئەی بردەوە
هه ى حه مرى خؤتو كه ناكه تو ميوانه كانت نه مينئ,هەی عەمری خۆت و کەناڵەکەت و میوانەکانت نەمێنێت
جوئن مه دن واعیساب که ن سئ کچ به رنامه پئشکه ش ده که ن,جوێن مەدەن، وا حیساب بکەن ٣ کچ بەرنامە پێشکەش دەکەن
بیره زن بلی توچیت دایه له میکیاج,پیرەژن، بلێ تۆ چیت داوە لە مکیاج!
جا توپه بةفرى ويكةت با باشتر بوو,جا تۆپەڵە بەفری پێکەتبا باشتر بوو
هةموو نةوعة كةوتنيكي تاقي كردةوة,هەموو نەوعە کەوتنێکی تاقی کردەوە
به س بيم بلين جواني ئه م مه يمونه له كويايه,بەس پێم بڵێن جوانیی ئەم مەیمونە لە کوێدایە؟
بؤ كؤمنته كان ناخوينيه وه,بۆ کۆمێنتەکان ناخوێنیتەوە؟
چند ناخؤشه تةريق بيتةوه,چەند ناخۆشە تەریق بیتەوە
دوو مه يموني هيناوه به ده مي يه ك پيده كه نن,دوو مەیموونی هێناوە بەدەمی یەکتر پێئەکەنن
باخوا يارا شئرا شئررررر,بە خوا یارا شێرە شێر.
ده ي رسقي ئه مانيش ببرن,دەی ڕزقی ئەمانیش ببڕن
فقيرا ملي شكا,فەقیرە ملی شکا
خوزكه جونكيله ش بان,خۆزگە جوانکیلەش بان
وةلاي تةسميل مةوة ريال كةي بةشةرة بةس بةرشة بةشةرة,وەلاهی تەسمیل مەبە، ڕیاڵ کەی بەشەرە، بەس بەرشە بەشەرە.
شەربت هەنار اخوی,شەربەت هەنار ئەخۆی؟
ده ست جاوت خوشيبي,دەست و چاوت خۆش بێت
ئه م حه مه يسك قورسه به جي وا زه عيف بوه,ئەم حەمەیە ئێسک قورسە، بەچی وا زەعیف بووە؟
يةعني ئاوي تةماتةك ئةوةي دةوي,یەعنی ئاوی تەماتەک ئەوەی دەوێ
كومپانباي دزيني ئوتومبيل يش په يدابوو,کۆمپانیای دزینی ئۆتۆمبێلیش پەیدا بوو
صةلاح بالابةرز,سەلاح باڵابەرز
له و بيكه نه نه ي ئه لي ته قه ده كا,لەو پێکەنینەی! ئەلێی تەقە دەکات
خوا که سیک رسوا بکه  وه ک ئه مه ی  لی  ئه کا,خودا کەسێک ڕیسوا بکات، وەک ئەمەی لێ ئەکات
كوناح نيه سازان ميرديك كه جه لى هه بيت,گوناح نییە سازان مێردێکی کەچەڵی هەبێت
هةرچي شيتو پاتالة لةم نيتة تةرةماشةية كةسيكي عاقلمان نةبيني,هەرچی شێت و پاتاڵە لەم نێتە تەڕەماشەیە، کەسێکی ئاقڵمان نەبینی
سازان خوي كردوتة عةنكةبوت جامانةى لةسةره,سازان خۆی کردۆتە عەنکەبووت، جامانەی لەسەرە.
كوره كان بس نازانن ياري بكه ن,کوڕەکان بەس نازانن یاری بکەن
حاجي سةيفةديت زور بيژي ديارة,حاجی سەیفەدین ، زۆر بیژی دیارە
جند بةبي يشي قسةت كرد,چەند بەبێ ئیشی قسەت کرد.
له ئيستاوه ئزانم كي ايباته وه ديارة نيگار يه كمة,لە ئێستاوە ئەزانم کێ ئەیباتەوە، دیارە نیگار یەکەمە
ئؤنده به فره ى بي نه كه ت ئؤنده به دارو ديوار كه ت,ئەوەندە بەفرەی پێنەکەوت، ئەوەندەی بە دارودیوار کەوت
سرنجي بؤق راكيشي جونكه هه رله بؤق اجيت,سەرنجی بۆق ڕائەکێشیت، چونکە هەر لە بۆق ئەچیت.
لاي هه ديك بياو اوافره تانه به جاك ده زانن,لای هەندێک پیاو، ئەو ئافرەتانە بە چاک دەزانن
لاندكرؤز  كو دةدزری،،،،,لاندگرۆزەر کو دەدزرێ؟
هة ناره يه كة م دابي,هەنارە یەکەم دەبی
بة قسةى من دةكةى هةسته بةخوت بروة مالى با دةرت نةكةن,بەقسەی من دەکەی، هەستە بۆ خۆت بڕۆوە ماڵێ، با دەرت نەکەن
